tech;original;translate
AUTH.LOGIN;Введите логин;
AUTH.PASSWORD;Введите пароль;
SORTING.SORTING;Сортировать:;
SORTING.ALPHABETICALLY;По алфавиту;
SORTING.BYDEVICE;По количеству аппаратов;
NAVBAR.OBJNAV;Обьекты;
NAVBAR.CLIENTNAV;Клиенты;
NAVBAR.DEVICENAV;Аппараты;
NAVBAR.JOURNALSNAV;Журналы;
ITEMSCOUNT.ITEMSCOUNT;Карточек на странице:;
INDEX.OBJMAP;Карта обьектов;
INDEX.ENTERCITY;Введите город;
INDEX.ENTERADDRESS;Введите адрес;
INDEX.FILTERS;Фильтры;
CLIENT.CARD.t;Неисправных аппаратов;
CLIENT.CARD.ADDRESS;Адресов:;
CLIENT.CARD.DEVICES;Аппаратов:;
CLIENT.CARD.PERSONALAREA;Личный кабинет:;
CLIENT.CARD.LOGIN;Логин:;
CLIENT.CARD.PASSWORD;Пароль:;
CLIENT.CARD.RESET;Сбросить;
CLIENT.CARD.DELETE;Удалить;
